opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_1_2_conv_pw         blocks.1.2.conv_pw         (add_1,)                                                                                                                                                    {}
call_module    blocks_1_2_bn1             blocks.1.2.bn1             (blocks_1_2_conv_pw,)                                                                                                                                       {}
call_module    blocks_1_2_act1            blocks.1.2.act1            (blocks_1_2_bn1,)                                                                                                                                           {}
call_module    blocks_1_2_conv_dw         blocks.1.2.conv_dw         (blocks_1_2_act1,)                                                                                                                                          {}
call_module    blocks_1_2_bn2             blocks.1.2.bn2             (blocks_1_2_conv_dw,)                                                                                                                                       {}
call_module    blocks_1_2_act2            blocks.1.2.act2            (blocks_1_2_bn2,)                                                                                                                                           {}
call_method    mean_4                     mean                       (blocks_1_2_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_1_2_se_conv_reduce  blocks.1.2.se.conv_reduce  (mean_4,)                                                                                                                                                   {}
call_module    blocks_1_2_se_act1         blocks.1.2.se.act1         (blocks_1_2_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_1_2_se_conv_expand  blocks.1.2.se.conv_expand  (blocks_1_2_se_act1,)                                                                                                                                       {}
call_module    blocks_1_2_se_gate         blocks.1.2.se.gate         (blocks_1_2_se_conv_expand,)                                                                                                                                {}
call_function  mul_4                      <built-in function mul>    (blocks_1_2_act2, blocks_1_2_se_gate)                                                                                                                       {}
call_module    blocks_1_2_conv_pwl        blocks.1.2.conv_pwl        (mul_4,)                                                                                                                                                    {}
call_module    blocks_1_2_bn3             blocks.1.2.bn3             (blocks_1_2_conv_pwl,)                                                                                                                                      {}
call_function  add_2                      <built-in function add>    (blocks_1_2_bn3, add_1)                                                                                                                                     {}
call_module    blocks_2_0_conv_pw         blocks.2.0.conv_pw         (add_2,)                                                                                                                                                    {}
call_module    blocks_2_0_bn1             blocks.2.0.bn1             (blocks_2_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_2_0_act1            blocks.2.0.act1            (blocks_2_0_bn1,)                                                                                                                                           {}
call_module    blocks_2_0_conv_dw         blocks.2.0.conv_dw         (blocks_2_0_act1,)                                                                                                                                          {}
call_module    blocks_2_0_bn2             blocks.2.0.bn2             (blocks_2_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_2_0_act2            blocks.2.0.act2            (blocks_2_0_bn2,)                                                                                                                                           {}
call_method    mean_5                     mean                       (blocks_2_0_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_2_0_se_conv_reduce  blocks.2.0.se.conv_reduce  (mean_5,)                                                                                                                                                   {}
call_module    blocks_2_0_se_act1         blocks.2.0.se.act1         (blocks_2_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_2_0_se_conv_expand  blocks.2.0.se.conv_expand  (blocks_2_0_se_act1,)                                                                                                                                       {}
call_module    blocks_2_0_se_gate         blocks.2.0.se.gate         (blocks_2_0_se_conv_expand,)                                                                                                                                {}
call_function  mul_5                      <built-in function mul>    (blocks_2_0_act2, blocks_2_0_se_gate)                                                                                                                       {}
call_module    blocks_2_0_conv_pwl        blocks.2.0.conv_pwl        (mul_5,)                                                                                                                                                    {}
call_module    blocks_2_0_bn3             blocks.2.0.bn3             (blocks_2_0_conv_pwl,)                                                                                                                                      {}
call_module    blocks_2_1_conv_pw         blocks.2.1.conv_pw         (blocks_2_0_bn3,)                                                                                                                                           {}
call_module    blocks_2_1_bn1             blocks.2.1.bn1             (blocks_2_1_conv_pw,)                                                                                                                                       {}
call_module    blocks_2_1_act1            blocks.2.1.act1            (blocks_2_1_bn1,)                                                                                                                                           {}
call_module    blocks_2_1_conv_dw         blocks.2.1.conv_dw         (blocks_2_1_act1,)                                                                                                                                          {}
call_module    blocks_2_1_bn2             blocks.2.1.bn2             (blocks_2_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_2_1_act2            blocks.2.1.act2            (blocks_2_1_bn2,)                                                                                                                                           {}
call_method    mean_6                     mean                       (blocks_2_1_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_2_1_se_conv_reduce  blocks.2.1.se.conv_reduce  (mean_6,)                                                                                                                                                   {}
call_module    blocks_2_1_se_act1         blocks.2.1.se.act1         (blocks_2_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_2_1_se_conv_expand  blocks.2.1.se.conv_expand  (blocks_2_1_se_act1,)                                                                                                                                       {}
call_module    blocks_2_1_se_gate         blocks.2.1.se.gate         (blocks_2_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_6                      <built-in function mul>    (blocks_2_1_act2, blocks_2_1_se_gate)                                                                                                                       {}
call_module    blocks_2_1_conv_pwl        blocks.2.1.conv_pwl        (mul_6,)                                                                                                                                                    {}
call_module    blocks_2_1_bn3             blocks.2.1.bn3             (blocks_2_1_conv_pwl,)                                                                                                                                      {}
call_function  add_3                      <built-in function add>    (blocks_2_1_bn3, blocks_2_0_bn3)                                                                                                                            {}
call_module    blocks_2_2_conv_pw         blocks.2.2.conv_pw         (add_3,)                                                                                                                                                    {}
call_module    blocks_2_2_bn1             blocks.2.2.bn1             (blocks_2_2_conv_pw,)                                                                                                                                       {}
call_module    blocks_2_2_act1            blocks.2.2.act1            (blocks_2_2_bn1,)                                                                                                                                           {}
call_module    blocks_2_2_conv_dw         blocks.2.2.conv_dw         (blocks_2_2_act1,)                                                                                                                                          {}
call_module    blocks_2_2_bn2             blocks.2.2.bn2             (blocks_2_2_conv_dw,)                                                                                                                                       {}
call_module    blocks_2_2_act2            blocks.2.2.act2            (blocks_2_2_bn2,)                                                                                                                                           {}
call_method    mean_7                     mean                       (blocks_2_2_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_2_2_se_conv_reduce  blocks.2.2.se.conv_reduce  (mean_7,)                                                                                                                                                   {}
call_module    blocks_2_2_se_act1         blocks.2.2.se.act1         (blocks_2_2_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_2_2_se_conv_expand  blocks.2.2.se.conv_expand  (blocks_2_2_se_act1,)                                                                                                                                       {}
call_module    blocks_2_2_se_gate         blocks.2.2.se.gate         (blocks_2_2_se_conv_expand,)                                                                                                                                {}
call_function  mul_7                      <built-in function mul>    (blocks_2_2_act2, blocks_2_2_se_gate)                                                                                                                       {}
call_module    blocks_2_2_conv_pwl        blocks.2.2.conv_pwl        (mul_7,)                                                                                                                                                    {}
call_module    blocks_2_2_bn3             blocks.2.2.bn3             (blocks_2_2_conv_pwl,)                                                                                                                                      {}
call_function  add_4                      <built-in function add>    (blocks_2_2_bn3, add_3)                                                                                                                                     {}
call_module    blocks_3_0_conv_pw         blocks.3.0.conv_pw         (add_4,)                                                                                                                                                    {}
call_module    blocks_3_0_bn1             blocks.3.0.bn1             (blocks_3_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_3_0_act1            blocks.3.0.act1            (blocks_3_0_bn1,)                                                                                                                                           {}
call_module    blocks_3_0_conv_dw         blocks.3.0.conv_dw         (blocks_3_0_act1,)                                                                                                                                          {}
call_module    blocks_3_0_bn2             blocks.3.0.bn2             (blocks_3_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_3_0_act2            blocks.3.0.act2            (blocks_3_0_bn2,)                                                                                                                                           {}
call_method    mean_8                     mean                       (blocks_3_0_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_3_0_se_conv_reduce  blocks.3.0.se.conv_reduce  (mean_8,)                                                                                                                                                   {}
call_module    blocks_3_0_se_act1         blocks.3.0.se.act1         (blocks_3_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_3_0_se_conv_expand  blocks.3.0.se.conv_expand  (blocks_3_0_se_act1,)                                                                                                                                       {}
call_module    blocks_3_0_se_gate         blocks.3.0.se.gate         (blocks_3_0_se_conv_expand,)                                                                                                                                {}
call_function  mul_8                      <built-in function mul>    (blocks_3_0_act2, blocks_3_0_se_gate)                                                                                                                       {}
call_module    blocks_3_0_conv_pwl        blocks.3.0.conv_pwl        (mul_8,)                                                                                                                                                    {}
call_module    blocks_3_0_bn3             blocks.3.0.bn3             (blocks_3_0_conv_pwl,)                                                                                                                                      {}
call_module    blocks_3_1_conv_pw         blocks.3.1.conv_pw         (blocks_3_0_bn3,)                                                                                                                                           {}
call_module    blocks_3_1_bn1             blocks.3.1.bn1             (blocks_3_1_conv_pw,)                                                                                                                                       {}
call_module    blocks_3_1_act1            blocks.3.1.act1            (blocks_3_1_bn1,)                                                                                                                                           {}
call_module    blocks_3_1_conv_dw         blocks.3.1.conv_dw         (blocks_3_1_act1,)                                                                                                                                          {}
call_module    blocks_3_1_bn2             blocks.3.1.bn2             (blocks_3_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_3_1_act2            blocks.3.1.act2            (blocks_3_1_bn2,)                                                                                                                                           {}
call_method    mean_9                     mean                       (blocks_3_1_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_3_1_se_conv_reduce  blocks.3.1.se.conv_reduce  (mean_9,)                                                                                                                                                   {}
call_module    blocks_3_1_se_act1         blocks.3.1.se.act1         (blocks_3_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_3_1_se_conv_expand  blocks.3.1.se.conv_expand  (blocks_3_1_se_act1,)                                                                                                                                       {}
call_module    blocks_3_1_se_gate         blocks.3.1.se.gate         (blocks_3_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_9                      <built-in function mul>    (blocks_3_1_act2, blocks_3_1_se_gate)                                                                                                                       {}
call_module    blocks_3_1_conv_pwl        blocks.3.1.conv_pwl        (mul_9,)                                                                                                                                                    {}
call_module    blocks_3_1_bn3             blocks.3.1.bn3             (blocks_3_1_conv_pwl,)                                                                                                                                      {}
call_function  add_5                      <built-in function add>    (blocks_3_1_bn3, blocks_3_0_bn3)                                                                                                                            {}
call_module    blocks_3_2_conv_pw         blocks.3.2.conv_pw         (add_5,)                                                                                                                                                    {}
