opcode         name                       target                     args                                                                                                                                                        kwargs
call_function  add_11                     <built-in function add>    (blocks_4_3_bn3, add_10)                                                                                                                                    {}
call_module    blocks_4_4_conv_pw         blocks.4.4.conv_pw         (add_11,)                                                                                                                                                   {}
call_module    blocks_4_4_bn1             blocks.4.4.bn1             (blocks_4_4_conv_pw,)                                                                                                                                       {}
call_module    blocks_4_4_act1            blocks.4.4.act1            (blocks_4_4_bn1,)                                                                                                                                           {}
call_module    blocks_4_4_conv_dw         blocks.4.4.conv_dw         (blocks_4_4_act1,)                                                                                                                                          {}
call_module    blocks_4_4_bn2             blocks.4.4.bn2             (blocks_4_4_conv_dw,)                                                                                                                                       {}
call_module    blocks_4_4_act2            blocks.4.4.act2            (blocks_4_4_bn2,)                                                                                                                                           {}
call_method    mean_17                    mean                       (blocks_4_4_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_4_4_se_conv_reduce  blocks.4.4.se.conv_reduce  (mean_17,)                                                                                                                                                  {}
call_module    blocks_4_4_se_act1         blocks.4.4.se.act1         (blocks_4_4_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_4_4_se_conv_expand  blocks.4.4.se.conv_expand  (blocks_4_4_se_act1,)                                                                                                                                       {}
call_module    blocks_4_4_se_gate         blocks.4.4.se.gate         (blocks_4_4_se_conv_expand,)                                                                                                                                {}
call_function  mul_17                     <built-in function mul>    (blocks_4_4_act2, blocks_4_4_se_gate)                                                                                                                       {}
call_module    blocks_4_4_conv_pwl        blocks.4.4.conv_pwl        (mul_17,)                                                                                                                                                   {}
call_module    blocks_4_4_bn3             blocks.4.4.bn3             (blocks_4_4_conv_pwl,)                                                                                                                                      {}
call_function  add_12                     <built-in function add>    (blocks_4_4_bn3, add_11)                                                                                                                                    {}
call_module    blocks_5_0_conv_pw         blocks.5.0.conv_pw         (add_12,)                                                                                                                                                   {}
call_module    blocks_5_0_bn1             blocks.5.0.bn1             (blocks_5_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_0_act1            blocks.5.0.act1            (blocks_5_0_bn1,)                                                                                                                                           {}
call_module    blocks_5_0_conv_dw         blocks.5.0.conv_dw         (blocks_5_0_act1,)                                                                                                                                          {}
call_module    blocks_5_0_bn2             blocks.5.0.bn2             (blocks_5_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_0_act2            blocks.5.0.act2            (blocks_5_0_bn2,)                                                                                                                                           {}
call_method    mean_18                    mean                       (blocks_5_0_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_0_se_conv_reduce  blocks.5.0.se.conv_reduce  (mean_18,)                                                                                                                                                  {}
call_module    blocks_5_0_se_act1         blocks.5.0.se.act1         (blocks_5_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_0_se_conv_expand  blocks.5.0.se.conv_expand  (blocks_5_0_se_act1,)                                                                                                                                       {}
call_module    blocks_5_0_se_gate         blocks.5.0.se.gate         (blocks_5_0_se_conv_expand,)                                                                                                                                {}
call_function  mul_18                     <built-in function mul>    (blocks_5_0_act2, blocks_5_0_se_gate)                                                                                                                       {}
call_module    blocks_5_0_conv_pwl        blocks.5.0.conv_pwl        (mul_18,)                                                                                                                                                   {}
call_module    blocks_5_0_bn3             blocks.5.0.bn3             (blocks_5_0_conv_pwl,)                                                                                                                                      {}
call_module    blocks_5_1_conv_pw         blocks.5.1.conv_pw         (blocks_5_0_bn3,)                                                                                                                                           {}
call_module    blocks_5_1_bn1             blocks.5.1.bn1             (blocks_5_1_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_1_act1            blocks.5.1.act1            (blocks_5_1_bn1,)                                                                                                                                           {}
call_module    blocks_5_1_conv_dw         blocks.5.1.conv_dw         (blocks_5_1_act1,)                                                                                                                                          {}
call_module    blocks_5_1_bn2             blocks.5.1.bn2             (blocks_5_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_1_act2            blocks.5.1.act2            (blocks_5_1_bn2,)                                                                                                                                           {}
call_method    mean_19                    mean                       (blocks_5_1_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_1_se_conv_reduce  blocks.5.1.se.conv_reduce  (mean_19,)                                                                                                                                                  {}
call_module    blocks_5_1_se_act1         blocks.5.1.se.act1         (blocks_5_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_1_se_conv_expand  blocks.5.1.se.conv_expand  (blocks_5_1_se_act1,)                                                                                                                                       {}
call_module    blocks_5_1_se_gate         blocks.5.1.se.gate         (blocks_5_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_19                     <built-in function mul>    (blocks_5_1_act2, blocks_5_1_se_gate)                                                                                                                       {}
call_module    blocks_5_1_conv_pwl        blocks.5.1.conv_pwl        (mul_19,)                                                                                                                                                   {}
call_module    blocks_5_1_bn3             blocks.5.1.bn3             (blocks_5_1_conv_pwl,)                                                                                                                                      {}
call_function  add_13                     <built-in function add>    (blocks_5_1_bn3, blocks_5_0_bn3)                                                                                                                            {}
call_module    blocks_5_2_conv_pw         blocks.5.2.conv_pw         (add_13,)                                                                                                                                                   {}
call_module    blocks_5_2_bn1             blocks.5.2.bn1             (blocks_5_2_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_2_act1            blocks.5.2.act1            (blocks_5_2_bn1,)                                                                                                                                           {}
call_module    blocks_5_2_conv_dw         blocks.5.2.conv_dw         (blocks_5_2_act1,)                                                                                                                                          {}
call_module    blocks_5_2_bn2             blocks.5.2.bn2             (blocks_5_2_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_2_act2            blocks.5.2.act2            (blocks_5_2_bn2,)                                                                                                                                           {}
call_method    mean_20                    mean                       (blocks_5_2_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_2_se_conv_reduce  blocks.5.2.se.conv_reduce  (mean_20,)                                                                                                                                                  {}
call_module    blocks_5_2_se_act1         blocks.5.2.se.act1         (blocks_5_2_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_2_se_conv_expand  blocks.5.2.se.conv_expand  (blocks_5_2_se_act1,)                                                                                                                                       {}
call_module    blocks_5_2_se_gate         blocks.5.2.se.gate         (blocks_5_2_se_conv_expand,)                                                                                                                                {}
call_function  mul_20                     <built-in function mul>    (blocks_5_2_act2, blocks_5_2_se_gate)                                                                                                                       {}
call_module    blocks_5_2_conv_pwl        blocks.5.2.conv_pwl        (mul_20,)                                                                                                                                                   {}
call_module    blocks_5_2_bn3             blocks.5.2.bn3             (blocks_5_2_conv_pwl,)                                                                                                                                      {}
call_function  add_14                     <built-in function add>    (blocks_5_2_bn3, add_13)                                                                                                                                    {}
call_module    blocks_5_3_conv_pw         blocks.5.3.conv_pw         (add_14,)                                                                                                                                                   {}
call_module    blocks_5_3_bn1             blocks.5.3.bn1             (blocks_5_3_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_3_act1            blocks.5.3.act1            (blocks_5_3_bn1,)                                                                                                                                           {}
call_module    blocks_5_3_conv_dw         blocks.5.3.conv_dw         (blocks_5_3_act1,)                                                                                                                                          {}
call_module    blocks_5_3_bn2             blocks.5.3.bn2             (blocks_5_3_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_3_act2            blocks.5.3.act2            (blocks_5_3_bn2,)                                                                                                                                           {}
call_method    mean_21                    mean                       (blocks_5_3_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_3_se_conv_reduce  blocks.5.3.se.conv_reduce  (mean_21,)                                                                                                                                                  {}
call_module    blocks_5_3_se_act1         blocks.5.3.se.act1         (blocks_5_3_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_3_se_conv_expand  blocks.5.3.se.conv_expand  (blocks_5_3_se_act1,)                                                                                                                                       {}
call_module    blocks_5_3_se_gate         blocks.5.3.se.gate         (blocks_5_3_se_conv_expand,)                                                                                                                                {}
call_function  mul_21                     <built-in function mul>    (blocks_5_3_act2, blocks_5_3_se_gate)                                                                                                                       {}
call_module    blocks_5_3_conv_pwl        blocks.5.3.conv_pwl        (mul_21,)                                                                                                                                                   {}
call_module    blocks_5_3_bn3             blocks.5.3.bn3             (blocks_5_3_conv_pwl,)                                                                                                                                      {}
call_function  add_15                     <built-in function add>    (blocks_5_3_bn3, add_14)                                                                                                                                    {}
call_module    blocks_5_4_conv_pw         blocks.5.4.conv_pw         (add_15,)                                                                                                                                                   {}
call_module    blocks_5_4_bn1             blocks.5.4.bn1             (blocks_5_4_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_4_act1            blocks.5.4.act1            (blocks_5_4_bn1,)                                                                                                                                           {}
call_module    blocks_5_4_conv_dw         blocks.5.4.conv_dw         (blocks_5_4_act1,)                                                                                                                                          {}
call_module    blocks_5_4_bn2             blocks.5.4.bn2             (blocks_5_4_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_4_act2            blocks.5.4.act2            (blocks_5_4_bn2,)                                                                                                                                           {}
call_method    mean_22                    mean                       (blocks_5_4_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_4_se_conv_reduce  blocks.5.4.se.conv_reduce  (mean_22,)                                                                                                                                                  {}
call_module    blocks_5_4_se_act1         blocks.5.4.se.act1         (blocks_5_4_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_4_se_conv_expand  blocks.5.4.se.conv_expand  (blocks_5_4_se_act1,)                                                                                                                                       {}
call_module    blocks_5_4_se_gate         blocks.5.4.se.gate         (blocks_5_4_se_conv_expand,)                                                                                                                                {}
call_function  mul_22                     <built-in function mul>    (blocks_5_4_act2, blocks_5_4_se_gate)                                                                                                                       {}
call_module    blocks_5_4_conv_pwl        blocks.5.4.conv_pwl        (mul_22,)                                                                                                                                                   {}
call_module    blocks_5_4_bn3             blocks.5.4.bn3             (blocks_5_4_conv_pwl,)                                                                                                                                      {}
call_function  add_16                     <built-in function add>    (blocks_5_4_bn3, add_15)                                                                                                                                    {}
call_module    blocks_5_5_conv_pw         blocks.5.5.conv_pw         (add_16,)                                                                                                                                                   {}
call_module    blocks_5_5_bn1             blocks.5.5.bn1             (blocks_5_5_conv_pw,)                                                                                                                                       {}
call_module    blocks_5_5_act1            blocks.5.5.act1            (blocks_5_5_bn1,)                                                                                                                                           {}
call_module    blocks_5_5_conv_dw         blocks.5.5.conv_dw         (blocks_5_5_act1,)                                                                                                                                          {}
call_module    blocks_5_5_bn2             blocks.5.5.bn2             (blocks_5_5_conv_dw,)                                                                                                                                       {}
call_module    blocks_5_5_act2            blocks.5.5.act2            (blocks_5_5_bn2,)                                                                                                                                           {}
call_method    mean_23                    mean                       (blocks_5_5_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_5_5_se_conv_reduce  blocks.5.5.se.conv_reduce  (mean_23,)                                                                                                                                                  {}
call_module    blocks_5_5_se_act1         blocks.5.5.se.act1         (blocks_5_5_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_5_5_se_conv_expand  blocks.5.5.se.conv_expand  (blocks_5_5_se_act1,)                                                                                                                                       {}
call_module    blocks_5_5_se_gate         blocks.5.5.se.gate         (blocks_5_5_se_conv_expand,)                                                                                                                                {}
call_function  mul_23                     <built-in function mul>    (blocks_5_5_act2, blocks_5_5_se_gate)                                                                                                                       {}
call_module    blocks_5_5_conv_pwl        blocks.5.5.conv_pwl        (mul_23,)                                                                                                                                                   {}
call_module    blocks_5_5_bn3             blocks.5.5.bn3             (blocks_5_5_conv_pwl,)                                                                                                                                      {}
call_function  add_17                     <built-in function add>    (blocks_5_5_bn3, add_16)                                                                                                                                    {}
call_module    blocks_6_0_conv_pw         blocks.6.0.conv_pw         (add_17,)                                                                                                                                                   {}
call_module    blocks_6_0_bn1             blocks.6.0.bn1             (blocks_6_0_conv_pw,)                                                                                                                                       {}
call_module    blocks_6_0_act1            blocks.6.0.act1            (blocks_6_0_bn1,)                                                                                                                                           {}
call_module    blocks_6_0_conv_dw         blocks.6.0.conv_dw         (blocks_6_0_act1,)                                                                                                                                          {}
call_module    blocks_6_0_bn2             blocks.6.0.bn2             (blocks_6_0_conv_dw,)                                                                                                                                       {}
call_module    blocks_6_0_act2            blocks.6.0.act2            (blocks_6_0_bn2,)                                                                                                                                           {}
call_method    mean_24                    mean                       (blocks_6_0_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_6_0_se_conv_reduce  blocks.6.0.se.conv_reduce  (mean_24,)                                                                                                                                                  {}
call_module    blocks_6_0_se_act1         blocks.6.0.se.act1         (blocks_6_0_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_6_0_se_conv_expand  blocks.6.0.se.conv_expand  (blocks_6_0_se_act1,)                                                                                                                                       {}
call_module    blocks_6_0_se_gate         blocks.6.0.se.gate         (blocks_6_0_se_conv_expand,)                                                                                                                                {}
call_function  mul_24                     <built-in function mul>    (blocks_6_0_act2, blocks_6_0_se_gate)                                                                                                                       {}
call_module    blocks_6_0_conv_pwl        blocks.6.0.conv_pwl        (mul_24,)                                                                                                                                                   {}
call_module    blocks_6_0_bn3             blocks.6.0.bn3             (blocks_6_0_conv_pwl,)                                                                                                                                      {}
call_module    blocks_6_1_conv_pw         blocks.6.1.conv_pw         (blocks_6_0_bn3,)                                                                                                                                           {}
call_module    blocks_6_1_bn1             blocks.6.1.bn1             (blocks_6_1_conv_pw,)                                                                                                                                       {}
call_module    blocks_6_1_act1            blocks.6.1.act1            (blocks_6_1_bn1,)                                                                                                                                           {}
call_module    blocks_6_1_conv_dw         blocks.6.1.conv_dw         (blocks_6_1_act1,)                                                                                                                                          {}
call_module    blocks_6_1_bn2             blocks.6.1.bn2             (blocks_6_1_conv_dw,)                                                                                                                                       {}
call_module    blocks_6_1_act2            blocks.6.1.act2            (blocks_6_1_bn2,)                                                                                                                                           {}
call_method    mean_25                    mean                       (blocks_6_1_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_6_1_se_conv_reduce  blocks.6.1.se.conv_reduce  (mean_25,)                                                                                                                                                  {}
call_module    blocks_6_1_se_act1         blocks.6.1.se.act1         (blocks_6_1_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_6_1_se_conv_expand  blocks.6.1.se.conv_expand  (blocks_6_1_se_act1,)                                                                                                                                       {}
call_module    blocks_6_1_se_gate         blocks.6.1.se.gate         (blocks_6_1_se_conv_expand,)                                                                                                                                {}
call_function  mul_25                     <built-in function mul>    (blocks_6_1_act2, blocks_6_1_se_gate)                                                                                                                       {}
call_module    blocks_6_1_conv_pwl        blocks.6.1.conv_pwl        (mul_25,)                                                                                                                                                   {}
call_module    blocks_6_1_bn3             blocks.6.1.bn3             (blocks_6_1_conv_pwl,)                                                                                                                                      {}
output         output_1                   output                     ({'blocks.0.1': blocks_0_1_act2, 'blocks.1.2': blocks_1_2_bn3, 'blocks.2.2': blocks_2_2_bn3, 'blocks.4.4': blocks_4_4_bn3, 'blocks.6.1': blocks_6_1_bn3},)  {}
OUT
dict_keys(['blocks.0.1', 'blocks.1.2', 'blocks.2.2', 'blocks.4.4', 'blocks.6.1'])
torch.Size([2, 24, 112, 112])
torch.Size([2, 32, 56, 56])
torch.Size([2, 48, 28, 28])
torch.Size([2, 136, 14, 14])
torch.Size([2, 384, 7, 7])
